"Location","repeats","SwabDate","SwabTime","口咽拭","鼻咽拭","SwabCount","DateTimeRound","HourNumber","AvgSwabCount","DurationHour","DurationDay","DurationDayNumber","Status","Sno","LocationEnglish","lon","lat","area"
"奧林匹克體育中心室內體育館",60,"2022-07-23","08:00",197,93,290,"2022/07/23 08:00:00",8,310.9032258064516,23,0.9583333333333333,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","10:00",284,110,394,"2022/07/23 10:00:00",10,310.9032258064516,25,1.0416666666666665,2,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","08:30",241,79,320,"2022/07/23 08:30:00",8.5,310.9032258064516,23.5,0.9791666666666666,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","09:00",227,114,341,"2022/07/23 09:00:00",9,310.9032258064516,24,1,2,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","09:30",357,143,500,"2022/07/23 09:30:00",9.5,310.9032258064516,24.5,1.0208333333333333,2,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","00:00",188,61,249,"2022/07/23 00:00:00",0,310.9032258064516,15,0.625,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",60,"2022-07-23","00:30",237,83,320,"2022/07/23 00:30:00",0.5,310.9032258064516,15.5,0.6458333333333333,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",64,"2022-07-22","08:00",152,78,230,"2022/07/22 08:00:00",8,310.9032258064516,-1,-0.041666666666666664,0,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",64,"2022-07-22","08:30",187,73,260,"2022/07/22 08:30:00",8.5,310.9032258064516,-0.5,-0.020833333333333332,0,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",64,"2022-07-22","09:00",177,83,260,"2022/07/22 09:00:00",9,310.9032258064516,0,0,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",64,"2022-07-22","09:30",306,104,410,"2022/07/22 09:30:00",9.5,310.9032258064516,0.5,0.020833333333333332,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館",64,"2022-07-22","10:00",278,132,410,"2022/07/22 10:00:00",10,310.9032258064516,1,0.041666666666666664,1,"1.已完成","B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
